date,value,constant
1963 JAN,17200,17500
1963 FEB,17700,17500
1963 MAR,18200,17500
1963 APR,18200,17500
1963 MAY,17500,17500
1963 JUN,18000,17500
1963 JUL,18400,17500
1963 AUG,17800,17500
1963 SEP,17900,17500
1963 OCT,17600,17500
1963 NOV,18400,17500
1963 DEC,18700,17500
1964 JAN,17800,17500
1964 FEB,18000,17500
1964 MAR,19000,17500
1964 APR,18800,17500
1964 MAY,19300,17500
1964 JUN,18800,17500
1964 JUL,19100,17500
1964 AUG,18900,17500
1964 SEP,18900,17500
1964 OCT,18900,17500
1964 NOV,19300,17500
1964 DEC,21000,17500
1965 JAN,20700,17500
1965 FEB,20400,17500
1965 MAR,19800,17500
1965 APR,19900,17500
1965 MAY,19600,17500
1965 JUN,19800,17500
1965 JUL,21000,17500
1965 AUG,20200,17500
1965 SEP,19600,17500
1965 OCT,19900,17500
1965 NOV,20600,17500
1965 DEC,20300,17500
1966 JAN,21200,17500
1966 FEB,20900,17500
1966 MAR,20800,17500
1966 APR,23000,17500
1966 MAY,22300,17500
1966 JUN,21200,17500
1966 JUL,21800,17500
1966 AUG,20700,17500
1966 SEP,22200,17500
1966 OCT,20800,17500
1966 NOV,21700,17500
1966 DEC,21700,17500
1967 JAN,22200,17500
1967 FEB,22400,17500
1967 MAR,22400,17500
1967 APR,22300,17500
1967 MAY,23700,17500
1967 JUN,23900,17500
1967 JUL,23300,17500
1967 AUG,21700,17500
1967 SEP,22800,17500
1967 OCT,22300,17500
1967 NOV,23100,17500
1967 DEC,22200,17500
1968 JAN,23400,17500
1968 FEB,23500,17500
1968 MAR,24600,17500
1968 APR,24500,17500
1968 MAY,25300,17500
1968 JUN,25400,17500
1968 JUL,24600,17500
1968 AUG,25000,17500
1968 SEP,25000,17500
1968 OCT,25600,17500
1968 NOV,24600,17500
1968 DEC,26500,17500
1969 JAN,24600,17500
1969 FEB,26000,17500
1969 MAR,26200,17500
1969 APR,25900,17500
1969 MAY,26900,17500
1969 JUN,25200,17500
1969 JUL,26800,17500
1969 AUG,24900,17500
1969 SEP,26000,17500
1969 OCT,24400,17500
1969 NOV,24900,17500
1969 DEC,25100,17500
1970 JAN,23600,17500
1970 FEB,24100,17500
1970 MAR,24100,17500
1970 APR,24200,17500
1970 MAY,25700,17500
1970 JUN,23800,17500
1970 JUL,22900,17500
1970 AUG,23500,17500
1970 SEP,22600,17500
1970 OCT,22100,17500
1970 NOV,23500,17500
1970 DEC,22300,17500
1971 JAN,23900,17500
1971 FEB,24500,17500
1971 MAR,24300,17500
1971 APR,25800,17500
1971 MAY,25500,17500
1971 JUN,26100,17500
1971 JUL,25200,17500
1971 AUG,25300,17500
1971 SEP,25400,17500
1971 OCT,25600,17500
1971 NOV,25700,17500
1971 DEC,25300,17500
1972 JAN,24700,17500
1972 FEB,26500,17500
1972 MAR,27400,17500
1972 APR,26700,17500
1972 MAY,27000,17500
1972 JUN,26800,17500
1972 JUL,27700,17500
1972 AUG,28100,17500
1972 SEP,28000,17500
1972 OCT,28900,17500
1972 NOV,29100,17500
1972 DEC,29700,17500
1973 JAN,29900,17500
1973 FEB,29700,17500
1973 MAR,31400,17500
1973 APR,32800,17500
1973 MAY,32000,17500
1973 JUN,33100,17500
1973 JUL,34200,17500
1973 AUG,33200,17500
1973 SEP,33200,17500
1973 OCT,33300,17500
1973 NOV,34000,17500
1973 DEC,35700,17500
1974 JAN,34200,17500
1974 FEB,34900,17500
1974 MAR,36000,17500
1974 APR,35700,17500
1974 MAY,35700,17500
1974 JUN,35100,17500
1974 JUL,36800,17500
1974 AUG,35700,17500
1974 SEP,36200,17500
1974 OCT,37200,17500
1974 NOV,37300,17500
1974 DEC,37400,17500
1975 JAN,37200,17500
1975 FEB,37900,17500
1975 MAR,38800,17500
1975 APR,39200,17500
1975 MAY,39500,17500
1975 JUN,37900,17500
1975 JUL,38600,17500
1975 AUG,38200,17500
1975 SEP,39700,17500
1975 OCT,40700,17500
1975 NOV,41100,17500
1975 DEC,42100,17500
1976 JAN,41600,17500
1976 FEB,42700,17500
1976 MAR,43600,17500
1976 APR,43300,17500
1976 MAY,43600,17500
1976 JUN,46100,17500
1976 JUL,44600,17500
1976 AUG,44200,17500
1976 SEP,44700,17500
1976 OCT,45300,17500
1976 NOV,45800,17500
1976 DEC,45900,17500
1977 JAN,45500,17500
1977 FEB,47400,17500
1977 MAR,46200,17500
1977 APR,48700,17500
1977 MAY,49300,17500
1977 JUN,48700,17500
1977 JUL,48600,17500
1977 AUG,49000,17500
1977 SEP,48500,17500
1977 OCT,51400,17500
1977 NOV,51800,17500
1977 DEC,52700,17500
1978 JAN,52300,17500
1978 FEB,53200,17500
1978 MAR,53200,17500
1978 APR,53300,17500
1978 MAY,55700,17500
1978 JUN,56700,17500
1978 JUL,54800,17500
1978 AUG,56100,17500
1978 SEP,57300,17500
1978 OCT,58300,17500
1978 NOV,58700,17500
1978 DEC,59900,17500
1979 JAN,60300,17500
1979 FEB,61200,17500
1979 MAR,60400,17500
1979 APR,62600,17500
1979 MAY,62800,17500
1979 JUN,64200,17500
1979 JUL,63800,17500
1979 AUG,64000,17500
1979 SEP,66000,17500
1979 OCT,62300,17500
1979 NOV,63900,17500
1979 DEC,61500,17500
1980 JAN,62900,17500
1980 FEB,64900,17500
1980 MAR,62600,17500
1980 APR,63100,17500
1980 MAY,63100,17500
1980 JUN,64900,17500
1980 JUL,64000,17500
1980 AUG,63400,17500
1980 SEP,68300,17500
1980 OCT,65600,17500
1980 NOV,66700,17500
1980 DEC,67000,17500
1981 JAN,67600,17500
1981 FEB,66200,17500
1981 MAR,66700,17500
1981 APR,68700,17500
1981 MAY,70800,17500
1981 JUN,68800,17500
1981 JUL,69500,17500
1981 AUG,72600,17500
1981 SEP,65800,17500
1981 OCT,69600,17500
1981 NOV,71200,17500
1981 DEC,68400,17500
1982 JAN,66200,17500
1982 FEB,65700,17500
1982 MAR,67200,17500
1982 APR,70200,17500
1982 MAY,69300,17500
1982 JUN,69300,17500
1982 JUL,70900,17500
1982 AUG,70100,17500
1982 SEP,67800,17500
1982 OCT,69700,17500
1982 NOV,73500,17500
1982 DEC,71700,17500
1983 JAN,73500,17500
1983 FEB,73800,17500
1983 MAR,72500,17500
1983 APR,74700,17500
1983 MAY,74500,17500
1983 JUN,75800,17500
1983 JUL,75200,17500
1983 AUG,76800,17500
1983 SEP,81000,17500
1983 OCT,75900,17500
1983 NOV,75900,17500
1983 DEC,75900,17500
1984 JAN,76200,17500
1984 FEB,79200,17500
1984 MAR,78400,17500
1984 APR,79600,17500
1984 MAY,81400,17500
1984 JUN,80500,17500
1984 JUL,80700,17500
1984 AUG,82000,17500
1984 SEP,81300,17500
1984 OCT,80100,17500
1984 NOV,82500,17500
1984 DEC,78300,17500
1985 JAN,82500,17500
1985 FEB,82000,17500
1985 MAR,84200,17500
1985 APR,85600,17500
1985 MAY,80100,17500
1985 JUN,86300,17500
1985 JUL,82100,17500
1985 AUG,83300,17500
1985 SEP,84700,17500
1985 OCT,85400,17500
1985 NOV,87200,17500
1985 DEC,87900,17500
1986 JAN,86600,17500
1986 FEB,89700,17500
1986 MAR,88700,17500
1986 APR,92500,17500
1986 MAY,92100,17500
1986 JUN,91200,17500
1986 JUL,94100,17500
1986 AUG,91500,17500
1986 SEP,95000,17500
1986 OCT,96400,17500
1986 NOV,94000,17500
1986 DEC,95000,17500
1987 JAN,98500,17500
1987 FEB,95200,17500
1987 MAR,98400,17500
1987 APR,96500,17500
1987 MAY,104900,17500
1987 JUN,109000,17500
1987 JUL,105000,17500
1987 AUG,106800,17500
1987 SEP,106500,17500
1987 OCT,106500,17500
1987 NOV,117000,17500
1987 DEC,111800,17500
1988 JAN,119000,17500
1988 FEB,110900,17500
1988 MAR,108900,17500
